,index,Operator,WellType,WellNumber,OrderNumbers,Approval Date,County,LAT,LONG,PSI,BBLS,ZONE,year,month,day,time,well_count
20,5130,NBI SERVICES INC,2R,141,23621.0,5/3/1950,LINCOLN,35.7211799,-96.7457451,,,PRUE,1950,5,3,1950-05-03,11
21,5107,NBI SERVICES INC,2R,115,23621.0,5/3/1950,LINCOLN,35.717589200000006,-96.7522762,,,PRUE,1950,5,3,1950-05-03,12
22,5115,NBI SERVICES INC,2R,51,23621.0,5/3/1950,LINCOLN,35.7158006,-96.74781479999999,,,PRUE,1950,5,3,1950-05-03,13
23,5138,NBI SERVICES INC,2R,177,23621.0,5/30/1950,LINCOLN,35.728449499999996,-96.73682729999999,,,PRUE,1950,5,30,1950-05-30,14
24,416,LINN OPERATING INC,2D,2,23972.0,9/12/1950,CADDO,34.9645873,-98.24337870000001,,,GRIFFIN SAND,1950,9,12,1950-09-12,11
25,10710,BALDRACHI OIL PROPERTIES LLC,2D,1,23997.0,9/20/1950,WASHINGTON,36.7615194,-95.9383124,,,BARTLESVILLE,1950,9,20,1950-09-20,12
26,281,XTO ENERGY INC,2D,1,24063.0,10/9/1950,BECKHAM,35.3347776,-99.40451490000001,500,"2,080",PERMIAN,1950,10,9,1950-10-09,13
27,4462,KLO LLC,2R,17,24286.0,12/14/1950,HUGHES,35.0776027,-96.4491814,,,CALVIN,1950,12,14,1950-12-14,15
28,4461,KLO LLC,2R,12,24286.0,12/14/1950,HUGHES,35.0785075,-96.4487441,,,CALVIN,1950,12,14,1950-12-14,16
29,6866,SPESS OIL COMPANY INC,2R,8,24711.0,5/7/1951,PAWNEE,36.229645,-96.43732,,,BARTLESVILLE,1951,5,7,1951-05-07,17
30,1179,CITATION OIL & GAS CORPORATION,2D,G-I,24910.0,7/6/1951,CARTER,34.2443216,-97.5396324,,,"BASAL, PENN",1951,7,6,1951-07-06,14
31,5106,BEREXCO LLC,2D,4,25415.0,1/7/1952,LINCOLN,35.6963592,-96.9160917,,,WILCOX,1952,1,7,1952-01-07,15
32,2692,MID-CON ENERGY OPERATING LLC,2D,3,25593.0,2/29/1952,CREEK,35.7870684,-96.4548813,,,BARTLESVILLE,1952,2,29,1952-02-29,16
33,2609,MOUNTAIN CREEK ENERGY INC,2D,14,25672.0,3/25/1952,CREEK,35.868828799999996,-96.46612040000001,,,BARTLESVILLE,1952,3,25,1952-03-25,17
34,5722,TERRITORY RESOURCES LLC,2D,83,25865.0,5/16/1952,NOBLE,36.5929581,-97.2770612,300,"6,500",WILCOX,1952,5,16,1952-05-16,18
35,2714,GRAYHORSE OPERATING INC,2D,3,25880.0,5/20/1952,CREEK,35.8450894,-96.32790870000001,,,DUTCHER,1952,5,20,1952-05-20,19
36,2604,BSO INC,2D,8,25889.0,5/21/1952,CREEK,36.1293979,-96.39070490000002,,,WILCOX,1952,5,21,1952-05-21,20
37,7104,MID-CON ENERGY OPERATING LLC,2R,15,25959.0,6/12/1952,PAYNE,36.1320927,-96.70913540000001,,,BARTLESVILLE,1952,6,12,1952-06-12,18
38,2516,BRAHMAN OPERATING LLC,2R,4,40132.0,7/16/1952,COTTON,34.4084533,-98.2359433,,,PRIDDY,1952,7,16,1952-07-16,19
39,2898,DUNLAP OIL COMPANY,2R,W-1,26652.0,1/13/1953,CREEK,35.8274355,-96.2589699,,,DUTCHER,1953,1,13,1953-01-13,20
40,8497,CANTRELL ENERGY CORPORATION,2D,9A,26977.0,4/14/1953,SEMINOLE,34.9029771,-96.5127808,,,CROMWELL,1953,4,14,1953-04-14,21
41,3524,CHIZUM OIL LLC,2D,5,27062.0,5/12/1953,CREEK,35.7780672,-96.5052365,,,TONKAWA,1953,5,12,1953-05-12,22
42,8006,CHATHAM JIMMY R,2D,2,27078.0,5/15/1953,POTTAWATOMIE,35.1369338,-96.9175127,,,HUNTON,1953,5,15,1953-05-15,23
43,10676,ORLOSKI JOHN C,2R,H-15,27096.0,5/18/1953,WASHINGTON,36.7814383,-95.9135194,500,500,BARTLESVILLE,1953,5,18,1953-05-18,21
44,10675,ORLOSKI JOHN C,2R,HO-11,27096.0,5/18/1953,WASHINGTON,36.789598299999994,-95.91462059999999,500,500,BARTLESVILLE,1953,5,18,1953-05-18,22
45,10674,ORLOSKI JOHN C,2R,CO-9,27096.0,5/18/1953,WASHINGTON,36.7796176,-95.90899470000001,500,625,BARTLESVILLE,1953,5,18,1953-05-18,23
46,10673,ORLOSKI JOHN C,2R,JO-14,27096.0,5/18/1953,WASHINGTON,36.7841543,-95.9123752,500,500,BARTLESVILLE,1953,5,18,1953-05-18,24
47,10672,ORLOSKI JOHN C,2R,H0-15,27096.0,5/18/1953,WASHINGTON,36.7859343,-95.914666,500,500,BARTLESVILLE,1953,5,18,1953-05-18,25
48,6635,CARTLEDGE & CARTLEDGE OIL COMPANY INC,2D,20,27139.0,5/24/1953,OKMULGEE,35.703566200000004,-96.1159844,,,ARBUCKLE LIME,1953,5,24,1953-05-24,24
49,9319,VELMA ENERGY LLC,2D,4,27261.0,6/29/1953,STEPHENS,34.522537799999995,-97.75711729999999,,,PERMIAN,1953,6,29,1953-06-29,25
50,488,CITATION OIL & GAS CORPORATION,2D,2-7,27526.0,9/18/1953,CADDO,34.9379843,-98.2081528,,,PENNSYLVANIA,1953,9,18,1953-09-18,26
51,5036,TYSON GARY,CDW,1,38001.0,9/22/1953,KIOWA,34.9869989,-98.9223142,0,500,HUNTON,1953,9,22,1953-09-22,1
52,8415,TNT OPERATING COMPANY INC,2R,4,27533.0,9/23/1953,SEMINOLE,35.240030100000006,-96.70274040000001,0,"1,000",WILCOX,1953,9,23,1953-09-23,26
53,1937,CANTRELL ENERGY CORPORATION,2R,21,27619.0,10/8/1953,CARTER,34.1129661,-97.22130109999999,,,DEESE,1953,10,8,1953-10-08,27
54,1492,CANTRELL ENERGY CORPORATION,2R,34,27619.0,10/8/1953,CARTER,34.1090807,-97.221239,,,DEESE,1953,10,8,1953-10-08,28
55,1497,CANTRELL ENERGY CORPORATION,2R,3,27619.0,10/8/1953,CARTER,34.0994297,-97.21325429999999,,,DEESE,1953,10,8,1953-10-08,29
56,1496,CANTRELL ENERGY CORPORATION,2R,W-1,27619.0,10/8/1953,CARTER,34.098149,-97.2169016,,,DEESE,1953,10,8,1953-10-08,30
57,1495,CANTRELL ENERGY CORPORATION,2R,W-40,27619.0,10/8/1953,CARTER,34.1028399,-97.2166335,,,DEESE,1953,10,8,1953-10-08,31
58,1493,CANTRELL ENERGY CORPORATION,2R,40,27619.0,10/8/1953,CARTER,34.1017986,-97.22782120000001,,,DEESE,1953,10,8,1953-10-08,32
59,1494,CANTRELL ENERGY CORPORATION,2R,39,27619.0,10/8/1953,CARTER,34.1108909,-97.2212335,,,DEESE,1953,10,8,1953-10-08,33
60,2896,DENNEY DON,2D,4,27668.0,10/13/1953,CREEK,36.0761296,-96.58010809999999,,,"BARTLESVILLE, SIMPSON ",1953,10,13,1953-10-13,27
61,2651,NBI SERVICES INC,2D,5,27730.0,10/28/1953,CREEK,35.6871545,-96.44874279999999,,,DUTCHER,1953,10,28,1953-10-28,28
62,3132,DEXXON INC,2R,37,27804.0,11/18/1953,CREEK,35.933758700000006,-96.0402945,,,GLENN,1953,11,18,1953-11-18,34
63,3116,DEXXON INC,2R,24,27804.0,11/18/1953,CREEK,35.933986,-96.0425262,,,GLENN,1953,11,18,1953-11-18,35
64,3129,DEXXON INC,2R,28,27804.0,11/18/1953,CREEK,35.9355714,-96.04030350000001,,,GLENN,1953,11,18,1953-11-18,36
65,3158,DEXXON INC,2R,47,27804.0,11/18/1953,CREEK,35.9355608,-96.0444565,,,GLENN,1953,11,18,1953-11-18,37
66,3137,DEXXON INC,2R,53,27804.0,11/18/1953,CREEK,35.935577200000004,-96.0380402,,,GLENN,1953,11,18,1953-11-18,38
67,3136,DEXXON INC,2R,41,27804.0,11/18/1953,CREEK,35.9319456,-96.04028709999999,,,GLENN,1953,11,18,1953-11-18,39
68,3135,DEXXON INC,2R,40,27804.0,11/18/1953,CREEK,35.931940000000004,-96.04244870000001,,,GLENN,1953,11,18,1953-11-18,40
69,3134,DEXXON INC,2R,39,27804.0,11/18/1953,CREEK,35.9318299,-96.0445998,,,GLENN,1953,11,18,1953-11-18,41
70,3133,DEXXON INC,2R,38,27804.0,11/18/1953,CREEK,35.9336921,-96.0447527,,,GLENN,1953,11,18,1953-11-18,42
71,3131,DEXXON INC,2R,35,27804.0,11/18/1953,CREEK,35.935565600000004,-96.04253270000001,,,GLENN,1953,11,18,1953-11-18,43
72,4806,CHAPARRAL ENERGY LLC,2R,W2,27937.0,12/22/1953,KAY,36.8391937,-96.7667435,,,BURBANK,1953,12,22,1953-12-22,44
73,5123,UNITED ENERGY & EXPLORATION LLC,2D,1B,28010.0,1/13/1954,LINCOLN,35.7034676,-96.66118399999999,,,SALT WATER BEARING,1954,1,13,1954-01-13,29
74,9391,DCP OPERATING CO LP,2D,1,28250.0,3/16/1954,STEPHENS,34.35934,-97.83031,,"1,500",PONTOTOC,1954,3,16,1954-03-16,30
75,9127,BUTKIN OIL COMPANY LLC,2D,20,28412.0,4/13/1954,STEPHENS,34.41767279999999,-97.6719925,590,600,UNKNOWN FORMATION,1954,4,13,1954-04-13,31
76,10724,BRATCO OPERATING COMPANY INC,2R,11-W,28456.0,4/19/1954,WASHINGTON,36.8293097,-95.89202390000001,,,BARTLESVILLE,1954,4,19,1954-04-19,45
77,10705,BRATCO OPERATING COMPANY INC,2R,B-5-W,28456.0,4/19/1954,WASHINGTON,36.826345700000005,-95.8936051,,,BARTLESVILLE,1954,4,19,1954-04-19,46
78,4757,MUSGROVE CASEY OIL CO INC.,2D,5,28570.0,5/11/1954,KAY,36.9892896,-97.00579990000001,,,STALKNAKER,1954,5,11,1954-05-11,32
79,10679,BRATCO OPERATING COMPANY INC,2D,4A,28647.0,5/25/1954,WASHINGTON,36.762172799999995,-95.866747,,,ARBUCKLE LIME,1954,5,25,1954-05-25,33
80,6643,WADLEY BILL & SON DRILLING CO,2D,2,28772.0,6/23/1954,OKMULGEE,35.5936187,-95.8126847,,,GLENN,1954,6,23,1954-06-23,34
81,2508,WINEINGER DICKIE L dba ROYAL PETROLEUM CO,2R,2,28805.0,6/29/1954,COTTON,34.2732649,-98.3514474,,,CISCO,1954,6,29,1954-06-29,47
82,5383,ASSIDUOUS ENERGY LLC,2D,2,28932.0,7/23/1954,LOGAN,35.760551299999996,-97.4325245,,,"ENDICOTT, PERRY",1954,7,23,1954-07-23,35
83,6901,MID-CON ENERGY OPERATING LLC,2R,18,28979.0,8/2/1954,PAWNEE,36.2823523,-96.465029,,,BARTLESVILLE,1954,8,2,1954-08-02,48
84,3003,MID-CON ENERGY OPERATING LLC,2R,29,28978.0,8/2/1954,CREEK,35.948065,-96.57911920000001,0,656,BARTLESVILLE,1954,8,2,1954-08-02,49
85,2769,MID-CON ENERGY OPERATING LLC,2R,23,28978.0,8/2/1954,CREEK,35.984748100000004,-96.57486,0,"1,556",BARTLESVILLE,1954,8,2,1954-08-02,50
86,6817,MID-CON ENERGY OPERATING LLC,2R,30,205487.0,8/2/1954,PAWNEE,36.2822643,-96.4760941,850,"1,500",CLEVELAND,1954,8,2,1954-08-02,51
87,6835,MID-CON ENERGY OPERATING LLC,2R,48,28979.0,8/2/1954,PAWNEE,36.2823225,-96.4738542,,,BARTLESVILLE,1954,8,2,1954-08-02,52
88,6831,MID-CON ENERGY OPERATING LLC,2R,17,28979.0,8/2/1954,PAWNEE,36.28237539999999,-96.46930649999999,,,BARTLESVILLE,1954,8,2,1954-08-02,53
89,6823,MID-CON ENERGY OPERATING LLC,2R,30,28979.0,8/2/1954,PAWNEE,36.278704,-96.48715490000001,,,BARTLESVILLE,1954,8,2,1954-08-02,54
90,3006,MID-CON ENERGY OPERATING LLC,2R,35,28978.0,8/2/1954,CREEK,35.9447823,-96.5790988,0,600,BARTLESVILLE,1954,8,2,1954-08-02,55
91,1909,CANTRELL ENERGY CORPORATION,2R,52,182498.0,8/4/1954,CARTER,34.1053376,-97.220175,,,DEESE,1954,8,4,1954-08-04,56
92,2638,NBI SERVICES INC,2R,9W,29010.0,8/4/1954,CREEK,35.880689000000004,-96.5741953,,,LAYTON,1954,8,4,1954-08-04,57
93,1458,CANTRELL ENERGY CORPORATION,2R,4,28994.0,8/4/1954,CARTER,34.119051299999995,-97.22896970000001,,,DEESE,1954,8,4,1954-08-04,58
94,4781,KLO LLC,2D,9,29162.0,9/27/1954,KAY,36.8338609,-97.31986359999999,,,ARBUCKLE,1954,9,27,1954-09-27,36
95,8434,K-OIL COMPANY,2D,1,29212.0,10/4/1954,SEMINOLE,34.9113963,-96.7561934,,,TRENTON,1954,10,4,1954-10-04,37
96,5122,RAMSEY PROPERTY MANAGEMENT LLC,2D,9,29342.0,10/22/1954,LINCOLN,35.7150799,-96.66024250000001,,,UNKNOWN FORMATION,1954,10,22,1954-10-22,38
97,7080,MID-CON ENERGY OPERATING LLC,2R,1,29405.0,11/5/1954,PAYNE,36.1339719,-96.7277517,,,BARTLESVILLE,1954,11,5,1954-11-05,59
98,6624,HOLLOWAY DAVID A,2R,3,29440.0,11/15/1954,OKMULGEE,35.7261709,-95.86132420000001,,,GLENN,1954,11,15,1954-11-15,60
99,3517,PETCO PETROLEUM CORP,2D,4,29491.0,11/22/1954,CREEK,36.0275036,-96.598293,0,"1,166",ARBUCKLE,1954,11,22,1954-11-22,39
100,6886,SPESS OIL COMPANY INC,2R,15,29526.0,11/30/1954,PAWNEE,36.254037700000005,-96.43257,,,BARTLESVILLE,1954,11,30,1954-11-30,61
101,6887,SPESS OIL COMPANY INC,2R,22-W,29526.0,11/30/1954,PAWNEE,36.2567406,-96.4336005,,,BARTLESVILLE,1954,11,30,1954-11-30,62
102,6888,SPESS OIL COMPANY INC,2R,23-W,29526.0,11/30/1954,PAWNEE,36.260053799999994,-96.42952609999999,,,BARTLESVILLE,1954,11,30,1954-11-30,63
103,6885,SPESS OIL COMPANY INC,2R,14W,29526.0,11/30/1954,PAWNEE,36.2532979,-96.431454,,,BARTLESVILLE,1954,11,30,1954-11-30,64
104,6889,SPESS OIL COMPANY INC,2R,28-W,29526.0,11/30/1954,PAWNEE,36.258526200000006,-96.43345,,,BARTLESVILLE,1954,11,30,1954-11-30,65
105,6890,SPESS OIL COMPANY INC,2R,29-W,29526.0,11/30/1954,PAWNEE,36.2601833,-96.42486240000001,,,BARTLESVILLE,1954,11,30,1954-11-30,66
106,7556,GUGLI CORPORATION,2D,6,29543.0,12/6/1954,PONTOTOC,34.8076226,-96.6004052,,,GILCREASE,1954,12,6,1954-12-06,40
107,8381,GRIFFIN WELL SERVICE INC,2R,3,29856.0,2/24/1955,SEMINOLE,34.99314129999999,-96.68416090000001,,,CROMWELL,1955,2,24,1955-02-24,67
108,9172,ARROW ENERGY INC,2R,13,29877.0,2/25/1955,STEPHENS,34.3700112,-97.792759,,,FARRIS,1955,2,25,1955-02-25,68
109,9173,ARROW ENERGY INC,2R,16,29877.0,2/25/1955,STEPHENS,34.3718414,-97.7927555,,,FARRIS,1955,2,25,1955-02-25,69
110,9174,ARROW ENERGY INC,2R,12,29877.0,2/25/1955,STEPHENS,34.3700219,-97.7949412,,,FARRIS,1955,2,25,1955-02-25,70
111,9376,CITATION OIL & GAS CORPORATION,2R,4-1,29987.0,3/22/1955,STEPHENS,34.5223885,-97.6231973,,,DEESE,1955,3,22,1955-03-22,71
112,9298,CITATION OIL & GAS CORPORATION,2R,27,29987.0,3/22/1955,STEPHENS,34.507831,-97.5882047,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,72
113,9296,CITATION OIL & GAS CORPORATION,2R,26,29987.0,3/22/1955,STEPHENS,34.5078269,-97.592586,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,73
114,9477,CITATION OIL & GAS CORPORATION,2R,251,29987.0,3/22/1955,STEPHENS,34.5014436,-97.5817478,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,74
115,9366,CITATION OIL & GAS CORPORATION,2R,A-97,29987.0,3/22/1955,STEPHENS,34.4986889,-97.5850475,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,75
116,9302,CITATION OIL & GAS CORPORATION,2R,20,29987.0,3/22/1955,STEPHENS,34.5096773,-97.5991559,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,76
117,9393,CITATION OIL & GAS CORPORATION,2R,22,29987.0,3/22/1955,STEPHENS,34.507867700000006,-97.59915749999999,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,77
118,8816,CITATION OIL & GAS CORPORATION,2R,68,29987.0,3/22/1955,STEPHENS,34.4951009,-97.5895234,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,78
119,8815,CITATION OIL & GAS CORPORATION,2R,81,29987.0,3/22/1955,STEPHENS,34.5006086,-97.59166809999999,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,79
120,8812,CITATION OIL & GAS CORPORATION,2R,52,177858.0,3/22/1955,STEPHENS,34.5042364,-97.5894487,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,80
121,8827,CITATION OIL & GAS CORPORATION,2R,77,29987.0,3/22/1955,STEPHENS,34.5006064,-97.6004832,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,81
122,8892,CITATION OIL & GAS CORPORATION,2R,190,29987.0,3/22/1955,STEPHENS,34.4874951,-97.58071020000001,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,82
123,9597,CITATION OIL & GAS CORPORATION,2R,263,29987.0,3/22/1955,STEPHENS,34.4979767,-97.5932128,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,83
124,8813,CITATION OIL & GAS CORPORATION,2R,49,29987.0,3/22/1955,STEPHENS,34.504201,-97.596113,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,84
125,8835,CITATION OIL & GAS CORPORATION,2R,135,29987.0,3/22/1955,STEPHENS,34.4951667,-97.59828309999999,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,85
126,8802,CITATION OIL & GAS CORPORATION,2R,124,177858.0,3/22/1955,STEPHENS,34.4950213,-97.571925,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,86
127,8822,CITATION OIL & GAS CORPORATION,2R,130,29987.0,3/22/1955,STEPHENS,34.495078899999996,-97.5850926,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,87
128,8897,CITATION OIL & GAS CORPORATION,2R,175,29987.0,3/22/1955,STEPHENS,34.4896575,-97.5960676,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,88
129,8817,CITATION OIL & GAS CORPORATION,2R,96,29987.0,3/22/1955,STEPHENS,34.4985326,-97.582858,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,89
130,8818,CITATION OIL & GAS CORPORATION,2R,119,29987.0,3/22/1955,STEPHENS,34.4968649,-97.580683,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,90
131,8788,CITATION OIL & GAS CORPORATION,2R,57,177858.0,3/22/1955,STEPHENS,34.5041313,-97.5785709,"1,500","2,000","SIMS, SPRINGER",1955,3,22,1955-03-22,91
132,8879,CITATION OIL & GAS CORPORATION,2R,217,29987.0,3/22/1955,STEPHENS,34.4842071,-97.5873004,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,92
133,8791,CITATION OIL & GAS CORPORATION,2R,34,177858.0,3/22/1955,STEPHENS,34.50581629999999,-97.5784393,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,93
134,8821,CITATION OIL & GAS CORPORATION,2R,129,29987.0,3/22/1955,STEPHENS,34.4950597,-97.5828925,,,"SIMS, SPRINGER",1955,3,22,1955-03-22,94
135,5102,SPESS OIL COMPANY INC,2R,1,29816.0,4/15/1955,LINCOLN,35.5601294,-96.7497521,,,HUNTON,1955,4,15,1955-04-15,95
136,4760,DEMCO OIL & GAS COMPANY,2D,2,30159.0,4/25/1955,KAY,36.9368994,-97.2269901,,,ARBUCKLE,1955,4,25,1955-04-25,41
137,7091,CIRCLE 9 RESOURCES LLC,2D,10,30492.0,7/6/1955,PAYNE,36.075396999999995,-96.7346027,,,OSWEGO,1955,7,6,1955-07-06,42
138,8438,GRIFFIN WELL SERVICE INC,2R,1,30526.0,7/12/1955,SEMINOLE,34.9851624,-96.6919143,,,THURMAN,1955,7,12,1955-07-12,96
139,6583,WHITE OPERATING COMPANY,2D,SWD 1,30814.0,9/23/1955,OKLAHOMA,35.4609458,-97.49558979999999,,,ARBUCKLE LIME,1955,9,23,1955-09-23,43
140,4036,PRIME OPERATING COMPANY,2D,3,30807.0,9/23/1955,GARVIN,34.5674249,-97.513788,,,ROBBERSON,1955,9,23,1955-09-23,44
141,2626,HOLLOWAY DAVID A,2D,3,30898.0,10/13/1955,CREEK,36.062292299999996,-96.3839095,,,BARTLESVILLE,1955,10,13,1955-10-13,45
142,1348,LEWIS OIL OPERATIONS LLC,2D,3,30985.0,10/31/1955,CARTER,34.3516033,-97.4911067,,,HOXBAR,1955,10,31,1955-10-31,46
143,2870,MID-CON ENERGY OPERATING LLC,2D,D-09,30988.0,10/31/1955,CREEK,36.0673804,-96.6123117,,,ARBUCKLE,1955,10,31,1955-10-31,47
144,4456,MORAN-K OIL LLC,2D,1,31195.0,11/7/1955,HUGHES,35.1057451,-96.4465958,,,CROMWELL,1955,11,7,1955-11-07,48
145,4448,B & R OIL,2D,2,31036.0,11/9/1955,HUGHES,35.085542100000005,-96.393565,200,500,CALVIN,1955,11,9,1955-11-09,49
146,6841,EAGLE OPERATING COMPANY,2D,A-3,31035.0,11/9/1955,PAWNEE,36.208326899999996,-96.6765906,,,RED FORK,1955,11,9,1955-11-09,50
147,7504,ENERGYQUEST II LLC,2D,7,31096.0,11/23/1955,PONTOTOC,34.79676679999999,-96.594525,,,GILCREASE,1955,11,23,1955-11-23,51
148,6613,DAVIS & DAVIS OIL PROPERTIES INC,2D,6,31097.0,11/23/1955,OKMULGEE,35.654073600000004,-95.80723520000001,,,BOOCH,1955,11,23,1955-11-23,52
149,2683,VENTURA ENERGY SERVICES LLC,2D,1,31177.0,12/1/1955,CREEK,35.7722404,-96.5643553,,,WILCOX,1955,12,1,1955-12-01,53
150,7988,ADA ENERGY E & P LLC,2D,3,31176.0,12/7/1955,POTTAWATOMIE,35.3604803,-96.8313762,0,200,VARIOUS,1955,12,7,1955-12-07,54
151,8324,CIRCLE 9 RESOURCES LLC,2D,1,31253.0,12/19/1955,SEMINOLE,35.16391289999999,-96.6488213,0,"2,500",WILCOX,1955,12,19,1955-12-19,55
152,8400,RKR EXPLORATION INC,2D,2,31392.0,1/6/1956,SEMINOLE,35.196674,-96.631508,500,250,1ST WILCOX,1956,1,6,1956-01-06,56
153,8003,WILLIAMS JOSHUA,2D,2,31386.0,1/6/1956,POTTAWATOMIE,35.062349499999996,-96.81225309999999,0,"1,000",SIMPSON DOLOMITE,1956,1,6,1956-01-06,57
154,8341,RESEARCH OIL COMPANY INC,2D,5,31382.0,1/6/1956,SEMINOLE,34.898454,-96.49965470000001,,,CROMWELL,1956,1,6,1956-01-06,58
155,8403,K-OIL COMPANY,2D,4,31445.0,1/11/1956,SEMINOLE,35.0659902,-96.6487639,0,"2,500","VIOLA, WILCOX",1956,1,11,1956-01-11,59
156,8426,DEXXON INC,2D,C-282,31408.0,1/11/1956,SEMINOLE,35.3851968,-96.6464407,0,200,MISENER,1956,1,11,1956-01-11,60
157,4643,LEWIS OIL OPERATIONS LLC,2D,3,31430.0,1/12/1956,JEFFERSON,34.284379,-97.5833654,0,"1,000",HEALDTON,1956,1,12,1956-01-12,61
158,2615,CORNELIUS OIL INC,2D,3,31464.0,1/17/1956,CREEK,35.898241799999994,-96.24411429999999,,,"BARTLESVILLE, RED FORK",1956,1,17,1956-01-17,62
159,2942,KOBY OIL COMPANY LLC,2R,W-2,31506.0,1/20/1956,CREEK,35.9774385,-96.5881668,,,BARTLESVILLE,1956,1,20,1956-01-20,97
160,5074,PALM OPERATING LLC,2R,127,31516.0,1/20/1956,LINCOLN,35.675946100000004,-96.6455387,,,PRUE,1956,1,20,1956-01-20,98
