API#,Operator,Operator ID,WellType,WellName,WellNumber,OrderNumbers,Approval Date,County,Sec,Twp,Rng,QQQQ,LAT,LONG,PSI,BBLS,ZONE,,,
3500321561,UNIT PETROLEUM COMPANY,16711,2R,MIKE UT#38449,1-8,385384,8/10/1994,ALFALFA,8,27N,10W,C-SW SE  ,36.8278600,-98.2948600,"1,250","4,500",MISENER,,,
3500321647,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,TULLIS,2-26,429951,2/2/1999,ALFALFA,26,28N,11W,E2 W2 SE SW,36.8713680,-98.3540200,"2,500","1,500",RED FORK,,,
3500321748,SAND CREEK OPERATING LLC,23210,CDW,KRAFT,1,1401960007,11/6/2013,ALFALFA,13,28N,12W,SW NE SW SW,36.9012150,-98.4467980,500,"20,000",ARBUCKLE,,,
3500321802,LINN OPERATING INC,22182,2R,NECU,16A,1007540008,7/8/2010,ALFALFA,21,27N,10W,S2 NE NW SW,36.8029280,-98.2847200,"1,500","2,500",PENN BASAL CHEROKEE,,,
3500321822,NEILSON INC,21475,CDW,BETTY JO,2,540384,6/8/2007,ALFALFA,30,27N,12W,N2 S2 N2 SW,36.7873670,-98.5359400,"1,500","3,000",TONKAWA,,,
3500321832,ATCHLEY RESOURCES INC,20266,2D,MILAN,2-32,1204110191,4/2/2012,ALFALFA,32,28N,10W,SW NW SE NW,36.8645660,-98.3010700,500,100,COTTAGE GROVE,,,
3500321840,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,ALFALFA,1,527050,7/13/2006,ALFALFA,28,25N,09W,NE NE NW,36.6217810,-98.1728530,"1,500","50,000","1ST AND 2ND WILCOX, ARBUCKLE",,,
3500321848,CHESAPEAKE OPERATING LLC,17441,2D,HDW,1-2,536661,3/13/2007,ALFALFA,2,24N,09W,NW NW NW NW,36.5923290,-98.1375200,"1,500","50,000",ARBUCKLE,,,
3500321877,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,SE BRADLEY A UNIT M,13,1609310123,7/6/2016,ALFALFA,30,26N,12W,E2 E2 W2 SE4,36.6999999,-98.5274800,"2,500","19,900",HUNTON,,,
3500321880,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,LEAMON,1,1609310122,7/6/2016,ALFALFA,29,26N,12W,SW SE SW NW/NW SE NW SW,36.7031060,-98.5195900,"2,500","19,900",HUNTON,,,
3500321897,CHESAPEAKE OPERATING LLC,17441,2D,GIDEON,1-32,556249,7/3/2008,ALFALFA,32,26N,09W,NE SW NE NE,36.6932460,-98.1846260,"1,500","50,000",ARBUCKLE,,,
3500321916,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LILY SWD,1-27,1102650003,11/15/2010,ALFALFA,27,29N,10W,W2 W2 NE NE,36.9695090,-98.2591030,"2,000","60,000",ARBUCKLE,,,
3500321931,CHESAPEAKE OPERATING LLC,17441,2D,DUTCH HARBOR SWD,1-14,1607050002,4/18/2016,ALFALFA,14,25N,12W,SE SE SE SE,36.6380510,-98.4511660,"2,500","19,500",SIMPSON,,,
3500321961,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAILAR SWD,1-35,1103600047,1/13/2011,ALFALFA,35,29N,12W,C-SE SE,36.9425800,-98.4710600,"2,000","100,000",ARBUCKLE,,,
3500321976,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,RISITA SWD,1-27,1102650002,11/18/2010,ALFALFA,27,29N,09W,SE SW SW SW,36.9570940,-98.1477480,"2,000","60,000",ARBUCKLE,,,
3500321983,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DORADO SWD,1-32,1102310016,11/17/2010,ALFALFA,32,29N,09W,NW NW NW NW,36.9562000,-98.2006000,"2,000","100,000",ARBUCKLE,,,
3500321994,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIERO SWD,1-23,1103390003,3/21/2011,ALFALFA,23,29N,09W,NE NE NW NE,36.9849000,-98.1344000,"2,000","60,000",ARBUCKLE,,,
3500321995,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TIBURON SWD,1-1,1103390002,12/21/2010,ALFALFA,1,28N,09W,SW SW SW SE,36.9279200,-98.1182200,"2,000","100,000",ARBUCKLE,,,
3500322002,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TIBURON SWD,2-1,1103700007,3/24/2011,ALFALFA,1,28N,09W,SW SW SW SE,36.9281000,-98.1181000,"2,000","60,000",ARBUCKLE-PLUGGED OFF,,,
3500322006,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GATILLO SWD,1-34,1103930063,2/7/2011,ALFALFA,34,29N,11W,NE NE NW NW,36.9562500,-98.3784100,"2,000","100,000",ARBUCKLE,,,
3500322019,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,AQUARIUS SWD,1-22,1104340184,3/10/2011,ALFALFA,22,29N,11W,SE NE NE NE,36.9845410,-98.3648770,"2,000","60,000",ARBUCKLE,,,
3500322020,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE KELLY SWD,1-3,1104340183,2/25/2011,ALFALFA,3,28N,10W,SW SW SE SE,36.9284420,-98.2561150,"2,000","100,000",ARBUCKLE,,,
3500322023,CHESAPEAKE OPERATING LLC,17441,2D,AMAZON SWD,1-25,1105070125,4/4/2011,ALFALFA,25,29N,10W,NE NW NW NW,36.9706918,-98.2357193,"2,000","80,000",ARBUCKLE,,,
3500322024,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CLAUDE SWD,1-13,1104920073,3/14/2011,ALFALFA,13,29N,11W,SE SE SE SE,36.9864820,-98.3286487,"2,000","60,000",ARBUCKLE,,,
3500322026,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BETTY ELLEN SWD,1-20,1104920074,3/25/2011,ALFALFA,20,29N,09W,SW SW SW SW,36.9720000,-98.2009000,"2,000","100,000",ARBUCKLE,,,
3500322027,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CALLIE SWD,1-7,1105200172,3/23/2011,ALFALFA,7,28N,12W,NW NE NE NW,36.9271670,-98.5328280,"2,000","60,000",ARBUCKLE,,,
3500322028,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROXY SWD,1-30,1105200171,4/25/2011,ALFALFA,30,29N,10W,SE SE SW SE,36.9576000,-98.3157000,"2,000","80,000",ARBUCKLE,,,
3500322039,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ALLISON SWD,1-22,1106760087,5/23/2011,ALFALFA,22,29N,12W,SE SW SW SW,36.9789000,-98.0080000,"2,000","60,000",ARBUCKLE,,,
3500322046,CHESAPEAKE OPERATING LLC,17441,2D,NILE 14-28-12 SWD,1,1501400030,10/15/2014,ALFALFA,14,28N,12W,NE NW NE NE,36.9124500,-98.4529100,"2,000","80,000","ARBUCKLE, GRANITE WASH, REAGAN",,,
3500322066,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,OWEN SWD,1-13,1107040025,7/21/2011,ALFALFA,13,24N,10W,SW SW SE SE,36.5506000,-98.2171000,"2,000","60,000",ARBUCKLE,,,
3500322102,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CARA SWD,1-31,1200530049,9/9/2011,ALFALFA,31,24N,10W,SW SE SE SE,36.5068700,-98.3036000,"2,000","60,000",ARBUCKLE,,,
3500322108,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAILEY SWD,1-1,1200530050,10/10/2011,ALFALFA,1,28N,10W,SE NE NE SE,36.9322000,-98.2179000,"2,000","60,000",ARBUCKLE,,,
3500322117,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SHARON SWD,1-22,1201350098,11/2/2011,ALFALFA,22,29N,10W,NE NW NW NE,36.9852000,-98.2628000,"2,000","60,000",ARBUCKLE,,,
3500322133,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIERO SWD,2-23,1202040019,11/2/2011,ALFALFA,23,29N,09W,NW NW NE NE,36.9849000,-98.1333000,"2,000","60,000",ARBUCKLE,,,
3500322144,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,JUDY SWD,1-12,1202380140,11/9/2011,ALFALFA,12,28N,11W,NE SE SE NE,36.9214200,-98.3248900,"2,000","60,000",ARBUCKLE,,,
3500322152,CHESAPEAKE OPERATING LLC,17441,2D,MISSISSIPPI 14-26-12 SWD,1,1703190017,12/2/2016,ALFALFA,14,26N,12W,SW SW NW SW,36.7288880,-98.4675450,"2,500","19,500",SIMPSON,,,
3500322157,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SHARON SWD,2-22,1202610136,12/2/2011,ALFALFA,22,29N,10W,SE NW NW NE,36.9848300,-98.2628530,"2,000","60,000",ARBUCKLE,,,
3500322158,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROBYN SWD,1-14,1202750065,12/15/2011,ALFALFA,14,28N,09W,SW SW SE SE,36.8989000,-98.1313000,"2,000","60,000",ARBUCKLE,,,
3500322163,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PRESLEY SWD,1-27,1608700032,7/13/2016,ALFALFA,27,27N,11W,SE SW SW SE,36.7839200,-98.3673200,"2,000","15,000","COTTAGE GROVE, TONKAWA ",,,
3500322165,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DOTTY SWD,2-27,1203000025,12/29/2011,ALFALFA,27,29N,10W,SW NE SE SE,36.9588000,-98.2575000,"2,000","60,000",ARBUCKLE,,,
3500322177,TRIAD ENERGY INC,10399,2D,WILLIAMS SWD,1-6,1202430030,12/7/2011,ALFALFA,6,28N,10W,NW NE NE NE,36.9417000,-98.3088000,"2,000","60,000",ARBUCKLE,,,
3500322183,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CRICKET SWD,1-21,1203700057,4/26/2012,ALFALFA,21,28N,09W,SE SE NE NE,36.8950000,-98.1643000,"2,000","80,000",ARBUCKLE,,,
3500322186,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,JUDY SWD,2-12,1203700052,2/2/2012,ALFALFA,12,28N,11W,NW SE SE NE,36.9219000,-98.3248000,"2,000","60,000",ARBUCKLE,,,
3500322193,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE KELLY SWD,2-3,1203950057,5/7/2012,ALFALFA,3,28N,10W,SW SW SE SE,36.9284390,-98.2566285,"2,000","60,000",ARBUCKLE,,,
3500322212,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ASHLEY SWD,2-36,1204560024,3/21/2012,ALFALFA,36,28N,10W,SW NE NW NW,36.8684329,-98.2312016,"2,000","60,000",ARBUCKLE,,,
3500322228,UNION VALLEY PETROLEUM CORP,12075,CDW,BONNIE JEAN SWD,1-22,1706400022,4/14/2017,ALFALFA,22,27N,09W,SE SW SW SE,36.7974504,-98.1532071,"2,000","10,000",LAYTON,,,
3500322229,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SIDNEY SWD,1-3,1204930046,6/18/2012,ALFALFA,3,28N,09W,SW SW SW SW,36.9280637,-98.1622758,"2,000","80,000",ARBUCKLE,,,
3500322246,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GATILLO SWD,2-34,1205760006,4/20/2012,ALFALFA,34,29N,11W,NW NW NE NW,36.9562376,-98.3773226,"2,000","60,000",ARBUCKLE,,,
3500322247,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PRESLEY SWD,2-27,1205760007,5/7/2012,ALFALFA,27,27N,11W,NE SW SW SE,36.7837893,-98.3670395,"2,000","60,000",ARBUCKLE,,,
3500322286,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BETTY ELLEN SWD 2909,2-20,1206950034,6/18/2012,ALFALFA,20,29N,09W,SE SW SW SW,36.9719144,-98.2000157,"2,000","60,000",ARBUCKLE,,,
3500322302,CHESAPEAKE OPERATING LLC,17441,2D,TIGRIS 24-24-11 SWD,1,1207420116,8/28/2012,ALFALFA,24,24N,11W,NE SE NE NE,36.5478299,-98.3195150,"1,500","50,000",ARBUCKLE DOLOMITE,,,
3500322308,EAGLE EXPLORATION PRODUCTION LLC,23413,CDW,REITZ,1 SWD,1206780080,8/7/2012,ALFALFA,10,27N,11W,NW NE NE NE,36.8401458,-98.8401458,"2,000","65,000",ARBUCKLE,,,
3500322316,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GRISWOLD SWD 2811,1-25,1207900010,10/19/2012,ALFALFA,25,28N,11W,NE NW NE NE,36.8837588,-98.3266665,"2,000","80,000",ARBUCKLE,,,
3500322317,CHESAPEAKE OPERATING LLC,17441,2D,EUPHRATES 11-27-12 SWD,1,1207840023,9/8/2012,ALFALFA,11,27N,12W,NW NW NW NW,36.8399518,-98.4666519,"1,500","80,000",ARBUCKLE DOLOMITE,,,
3500322318,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,POPPINS SWD 2810,2-21,1207900012,7/10/2012,ALFALFA,21,28N,10W,NW SE SE SE,36.8853283,-98.2722998,"2,000","80,000",ARBUCKLE,,,
3500322345,CHAPARRAL ENERGY LLC,16896,2D,WESSEL SWD,1,1302580029,11/9/2012,ALFALFA,1,26N,12W,NE NE NW NW,36.7673874,-98.4463585,"3,000","45,000",ARBUCKLE,,,
3500322349,CHESAPEAKE OPERATING LLC,17441,2D,RIO GRANDE 16-27-12 SWD,1,1300030055,11/9/2012,ALFALFA,16,27N,12W,SE SE SE SE ,36.8124774,-98.4864893,"1,500","80,000",ARBUCKLE,,,
3500322355,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DUSTIN SWD 2709,1-6,1300460052,8/22/2012,ALFALFA,6,27N,09W,SW SW SW SW ,36.8413903,-98.2158393,"2,000","60,000",ARBUCKLE,,,
3500322370,D & J OIL COMPANY INC,17713,2D,MYERS,1-34 SWD,1303920175,2/20/2013,ALFALFA,34,27N,09W,N2 NE NW NW ,36.7814052,-98.1612485,"2,800","25,000",ARBUCKLE,,,
3500322386,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MILLIE SWD 2810,1-9,1301390064,10/29/2012,ALFALFA,9,28N,10W,SE SW SE SW,36.9136310,-98.2829343,"2,000","60,000",ARBUCKLE,,,
3500322390,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LIZZIE SWD 2711,1-33,1301650032,10/10/2012,ALFALFA,33,27N,11W,NE SE SE SE ,36.7690164,-98.3788771,"2,000","60,000",ARBUCKLE,,,
3500322409,CHESAPEAKE OPERATING LLC,17441,2D,THAMES 33-28-9 SWD,1,1702030040,10/4/2016,ALFALFA,33,28N,09W,SE SW SW SW ,36.8555153,-98.1794753,"2,500","19,500",SIMPSON,,,
3500322418,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE SWD 2810,1-26,1302360125,11/9/2012,ALFALFA,26,28N,10W,SW NE SE NE ,36.8790867,-98.2358521,"2,000","60,000",ARBUCKLE,,,
3500322426,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LAUREN SWD 2609,1-3,1302610092,1/10/2013,ALFALFA,3,26N,09W,NW NE NE NE ,36.7667933,-98.1479517,"2,000","60,000",ARBUCKLE,,,
3500322476,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MARLEY SWD 2511,1-25,1303650019,2/21/2013,ALFALFA,25,25N,11W,SE SE SW SW ,36.6092638,-98.3385222,"2,000","60,000",ARBUCKLE,,,
3500322489,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,MURROW SWD,1-10,1305640011,5/20/2013,ALFALFA,10,26N,12W,C-SW SW SW ,36.7399965,-98.4847045,"2,000","40,000",ARBUCKLE,,,
3500322504,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAKER SWD 2810,1-20,1304080062,3/4/2013,ALFALFA,20,28N,10W,NE SE NE ,36.8949285,-98.2899088,"2,000","80,000",ARBUCKLE,,,
3500322521,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CLARK W SWD 2811,1-27,1304370154,3/27/2013,ALFALFA,27,28N,11W,SW SE SW ,36.8710200,-98.3716437,"2,000","80,000",ARBUCKLE,,,
3500322523,CHESAPEAKE OPERATING LLC,17441,2D,CLAY 7-25-10 SWD,1,1304190110,5/6/2013,ALFALFA,7,25N,10W,SE SW SW SW,36.6526632,-98.3231877,"1,500","80,000",ARBUCKLE,,,
3500322524,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE SWD 2810,2-26,1304370153,4/23/2013,ALFALFA,26,28N,10W,NE SE NE ,36.8786747,-98.2358504,"2,000","80,000",ARBUCKLE,,,
3500322540,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DIAMONDBACK SWD 2710,1-5,1304690095,6/3/2013,ALFALFA,5,27N,10W,NE NE NE,36.8542960,-98.2899460,"2,000","80,000",ARBUCKLE,,,
3500322548,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,COTTONWOOD SWD 2411,1-19,1304800029,4/25/2013,ALFALFA,19,24N,11W,S2 SE SE SW ,36.5363130,-98.4181788,"2,000","60,000",ARBUCKLE,,,
3500322551,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIONA SWD 2610,1-5,1304910040,6/19/2013,ALFALFA,5,16N,10W,SE NE NE NW,36.7667550,-98.2987757,"2,000","60,000",ARBUCKLE,,,
3500322560,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DUSTIN SWD 2709,2-6,1305020144,5/10/2013,ALFALFA,6,27N,09W,NW SW SW SW,36.8418023,-98.2158375,"2,000","60,000",ARBUCKLE,,,
3500322600,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MIGUEL SWD 2611,1-9,1305860066,7/1/2013,ALFALFA,9,26N,11W,NE NE SE ,36.7457035,-98.3790357,"2,000","80,000",ARBUCKLE,,,
3500322603,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,CROWDER 2610,2-5H,1505970072,4/24/2015,ALFALFA,5,26N,10W,"NW NW NE, SE SE SW",36.7672500,-98.2969800,"1,000","14,000",MISSISSIPPIAN,,,
3500322623,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PHIN SWD 2811,1-11,1306350029,7/2/2013,ALFALFA,11,28N,11W,SE SE SW / NE NE SW,36.9141087,-98.3525466,"2,000","80,000",ARBUCKLE,,,
3500322651,CHESAPEAKE OPERATING LLC,17441,2D,PULLER 7-26-10 SWD,1,1306840001,8/30/2013,ALFALFA,7,26N,10W,SW SW SW SE,36.7397608,-98.3152036,"1,500","80,000",ARBUCKLE,,,
3500322710,CHESAPEAKE OPERATING LLC,17441,2D,COLUMBIA 36-27-12 SWD ,1,1608890013,7/29/2016,ALFALFA,36,27N,12W,NW NW NW NW,36.7819226,-98.4488245,"2,500","19,500",SIMPSON,,,
3500322722,ARP OKLAHOMA LLC,23072,2D,JACKDAW SWD WELL,1,1401550008,9/18/2013,ALFALFA,10,25N,09W,SE SE SW ,36.6521530,-98.1547806,"1,000","60,000",ARBUCKLE,,,
3500322737,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DIAMONBACK SWD 2710,2-5,1402810005,10/8/2013,ALFALFA,5,27N,10W,NE NE NE 5-,36.8539080,-98.2899310,"2,000","80,000",ARBUCKLE,,,
3500322761,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MILA SWD 2610,1-28,1403540075,1/10/2014,ALFALFA,28,26N,10W,NE NE NW ,36.7092722,-98.2804739,"2,000","80,000",ARBUCKLE,,,
3500322805,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MARLEY SWD 2511,2-25,1406040003,5/7/2014,ALFALFA,25,25N,11W,SE SW SW ,36.6092641,-98.3390333,"2,000","80,000",ARBUCKLE,,,
3500322806,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PHIN SWD 2811,2-11,1404700047,2/13/2014,ALFALFA,11,28N,11W,SW SE SW ,36.9141027,-98.3530596,"2,000","80,000",ARBUCKLE,,,
3500322903,EAGLE EXPLORATION PRODUCTION LLC,23413,CDW,REITZ,2 SWD,1407580021,7/3/2014,ALFALFA,10,27N,11W,NW NE NE NE/(3-27N-11W) SW NE NE SE,36.8401950,-98.3612950,"1,500","40,000",ARBUCKLE,,,
3500322908,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LIDIA SWD 2710,1-7,1407840033,7/11/2014,ALFALFA,7,27N,10W,NE NE NE ,36.8398600,-98.3080360,"2,000","80,000",ARBUCKLE,,,
3500322954,AEXCO PETROLEUM INC,17342,2D,MCDANIEL SWD,1-18,1603950059,6/14/2016,ALFALFA,18,25N,11W,SE SW SW SW,36.6380465,-98.4309985,"2,500","10,000",WILCOX,,,
3500323033,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TATUM ROSE SWD 2710,1-17,1501810018,11/24/2014,ALFALFA,17,27N,10W,SE SW SE ,36.8124010,-98.2949930,"2,000","80,000",ARBUCKLE,,,
3500323099,CHESAPEAKE OPERATING LLC,17441,2D,YELLOW 30-27-10 SWD ,1,1503050035,12/4/2014,ALFALFA,30,27N,10W,NE NW NE NW ,36.8539080,-98.2899310,"2,000","80,000",ARBUCKLE,,,
3500323183,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,KELTNER 2512,1-17 SWD,654904,8/2/2016,ALFALFA,17,25N,12W,NW NW NE NW ,36.6520600,-98.5169200,"2,264","19,900","HUNTON, WILCOX",,,
3500323239,AEXCO PETROLEUM INC,17342,2D,BARNYARD SWD,#1-16,1605560019,2/19/2016,ALFALFA,15,25N,11W,SW SW SW SW,35.6382000,-98.3777000,"2,320","15,000","COTTAGE GROVE, TONKAWA ",,,
3500323263,AEXCO PETROLEUM INC,17342,2D,KEPHART SWD ,#1-29,1703700037,12/8/2016,ALFALFA,29,25N,11W,NW NW NW NE,36.6225790,-98.4047700,"2,375","15,000","COTTAGE GROVE, TONKAWA ",,,
3500323264,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,BAKER 2512,1-28 SWD,1705830122,5/25/2017,ALFALFA,28,25N,12W,SW SW SE SE,36.6092390,-9.4906800,"2,285","19,900","ENDICOTT, TONKAWA, COTTAGE GROVE, OSWEGO, HUNTON, WILCOX",,,
3500323266,MIDSTATES PETROLEUM COMPANY LLC,23079,2D,GREGORY 2412,1-15 SWD,1704900011,2/28/2017,ALFALFA,15,24N,12W,NE NW NW NE,36.5638461,-98.4689228,"2,300","19,900","ENDICOTT, HUNTON, OSWEGO, WILCOX",,,
3500330089,SANNER JERRY OIL PROPERTIES INC,4185,2D,KATHERINE M FRECH,1,78260,12/9/1969,ALFALFA,21,24N,11W,CSE SW,36.5373320,-98.3834131,400,800,TONKAWA,,,
3500335236,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,19,346840,5/1/1990,ALFALFA,20,27N,10W,CNE SW,36.8023677,-98.3002080,"1,500","1,000",RED FORK,,,
3500335244,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,14,387086,10/17/1994,ALFALFA,21,27N,10W,CNW SE,36.8023476,-98.2776623,"2,500","1,000","BASAL, PENN",,,
3500335286,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,3,312749,5/26/1987,ALFALFA,24,27N,11W,CSE NW,36.8062315,-98.3348700,"1,500",500,RED FORK,,,
3500335292,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,66,282612,7/26/1985,ALFALFA,25,27N,11W,CSE NE,36.7916487,-98.3259710,"2,250","1,500",RED FORK,,,
3500335338,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,COBBETT-HEIRS,1-19,429950,2/2/1999,ALFALFA,19,28N,10W,CSW SE,36.8858932,-98.3130870,"2,450","1,500","RED FORK, TONKAWA",,,
3500335345,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,CORYELL,1-20,429952,2/2/1999,ALFALFA,20,28N,10W,CSE NW,36.8931545,-98.3001101,"1,500","1,500",RED FORK,,,
3500335499,ARVINE ENVIRONMENTAL LLC,21008,2D,NELSON,2,75500,7/14/1969,ALFALFA,14,24N,11W,CNE SE,36.5555305,-98.3385963,0,35,OSWEGO,,,
3500520461,BRAVO ARKOMA,23562,2D,CAIRO SWD,1,1606000002,3/21/2016,ATOKA,31,02N,12E,SW SW SW,34.5944420,-96.0912777,"5,915","19,990","BROMIDE, MCLISH, OIL CREEK",,,
